Unnamed: 0,reviewId,content,cleaned_content,typo_fixed,no_stopwords,stemmed,predicted_sentiment
0,556eced0-79ff-49a4-bc7e-91adc739dcbe,"Loading splash screennya seringkali lama, saya duga itu berhubungan dengan mengecek apakah device tersambung ke Internet/tidak, which is tersambung (sebab membuka aplikasi lain lancar). Karena seolah terdeteksi tidak tersambung ke internet, maka aplikasi tidak lanjut ke menu login. Silahkan debug ulang kode splash screennya. Kemudian kenapa kita harus selalu login ulang, sedang di background system kita terdeteksi selalu login (misal ada notif transfer masuk, padahal belum login)",loading splash screennya seringkali lama saya duga itu berhubungan dengan mengecek apakah device tersambung ke internettidak which is tersambung sebab membuka aplikasi lain lancar karena seolah terdeteksi tidak tersambung ke internet maka aplikasi tidak lanjut ke menu login silahkan debug ulang kode splash screennya kemudian kenapa kita harus selalu login ulang sedang di background system kita terdeteksi selalu login misal ada notif transfer masuk padahal belum login,loading splash screennya seringkali lama saya duga itu berhubungan dengan mengecek apakah device tersambung ke internettidak which is tersambung sebab membuka aplikasi lain lancar karena seolah terdeteksi tidak tersambung ke internet maka aplikasi tidak lanjut ke menu login silahkan debug ulang kode splash screennya kemudian kenapa kita harus selalu login ulang sedang di background system kita terdeteksi selalu login misal ada notif transfer masuk padahal belum login,loading splash screennya seringkali lama duga berhubungan mengecek device tersambung internettidak which is tersambung membuka aplikasi lancar seolah terdeteksi tersambung internet aplikasi lanjut menu login silahkan debug ulang kode splash screennya kemudian selalu login ulang sedang background system kita terdeteksi selalu login misal notif transfer masuk padahal login,loading splash screennya seringkali lama duga hubung ecek device sambung internettidak which is sambung buka aplikasi lancar olah deteksi sambung internet aplikasi lanjut menu login silah debug ulang kode splash screennya kemudian selalu login ulang sedang background system kita deteksi selalu login misal notif transfer masuk padahal login,neutral
1,61384cec-37c1-4669-9900-7d3f2a44250b,"Kalau push notif transaksi bisa diset minimal nol (seperti BRI/Mandiri), saya kasih ⭐⭐⭐⭐⭐. EDIT: Ternyata bisa notif semua transaksi setelah saya set ulang matikan/nyalakan notif di aplikasi. Tapi kendalanya lambat aja.Di atas 5 menit setelah ada uang masuk baru muncul notifikasi.",kalau push notif transaksi bisa diset minimal nol seperti brimandiri saya kasih edit ternyata bisa notif semua transaksi setelah saya set ulang matikannyalakan notif di aplikasi tapi kendalanya lambat ajadi atas menit setelah ada uang masuk baru muncul notifikasi,kalau push notif transaksi bisa diset minimal nol seperti brimandiri saya kasih edit ternyata bisa notif semua transaksi setelah saya set ulang matikannyalakan notif di aplikasi tapi kendalanya lambat ajadi atas menit setelah ada uang masuk baru muncul notifikasi,kalau push notif transaksi diset minimal nol brimandiri kasih edit ternyata notif semua transaksi saya set ulang matikannyalakan notif aplikasi kendalanya lambat ajadi atas menit ada uang masuk baru muncul notifikasi,kalau push notif transaksi set minimal nol brimandiri kasih edit nyata notif semua transaksi saya set ulang matikannyalakan notif aplikasi kendala lambat ajadi atas menit ada uang masuk baru muncul notifikasi,neutral
3,ab3465fe-e44c-406f-ac64-d6956e1f9ab7,"ribet banget harus registrasi ke agen mana sinyalnya jelek suara agennya ga jelas padahal sinyal ditempat aku bagus. pas keluar app terus masuk lagi suruh masukin password pas dimasukin salah terus suruh registrasi ulang, kapan selesai? pliss aku tau itu buat keamanan tapi ini mengribet banget, ga bisa dipersimpel aja gitu?",ribet banget harus registrasi ke agen mana sinyalnya jelek suara agennya ga jelas padahal sinyal ditempat aku bagus pas keluar app terus masuk lagi suruh masukin password pas dimasukin salah terus suruh registrasi ulang kapan selesai pliss aku tau itu buat keamanan tapi ini mengribet banget ga bisa dipersimpel aja gitu,ribet banget harus registrasi ke agen mana sinyalnya jelek suara agennya tidak jelas padahal sinyal ditempat aku bagus pas keluar app terus masuk lagi suruh masukkan password pas dimasukin salah terus suruh registrasi ulang kapan selesai pliss aku tahu itu buat keamanan tapi ini mengribet banget tidak bisa dipersimpel saja gitu,ribet banget registrasi agen mana sinyalnya jelek suara agennya jelas padahal sinyal ditempat aku bagus pas keluar app terus masuk suruh masukkan password pas dimasukin salah terus suruh registrasi ulang kapan selesai pliss aku tahu buat keamanan ini mengribet banget bisa dipersimpel gitu,ribet banget registrasi agen mana sinyal jelek suara agen jelas padahal sinyal tempat aku bagus pas keluar app terus masuk suruh masuk password pas dimasukin salah terus suruh registrasi ulang kapan selesai pliss aku tahu buat aman ini mengribet banget bisa simpel gitu,negative
4,478aaea6-013b-482e-88ad-ddcc79f24e2b,"aplikasi masih tetap lemot walaupun sudah diupdate, malah hanya sampai tampilan depan, tidak bisa login, sangat tidak membantu ketika darurat.. tolong diperbaiki lagi. Masih kalah saing dengan kompetitor lain.",aplikasi masih tetap lemot walaupun sudah diupdate malah hanya sampai tampilan depan tidak bisa login sangat tidak membantu ketika darurat tolong diperbaiki lagi masih kalah saing dengan kompetitor lain,aplikasi masih tetap lambat walaupun sudah diupdate bahkan hanya sampai tampilan depan tidak bisa login sangat tidak membantu ketika darurat tolong diperbaiki lagi masih kalah saing dengan kompetitor lain,aplikasi tetap lambat walaupun diupdate bahkan sampai tampilan depan bisa login sangat membantu darurat diperbaiki masih kalah saing kompetitor,aplikasi tetap lambat walaupun diupdate bahkan sampai tampil depan bisa login sangat bantu darurat baik masih kalah saing kompetitor,negative
5,b1bccb3a-46b0-4053-b746-31d40e9b3ee8,"sudah memasukkan password yang benar tapi tetap salah, ketika mau menggunakan fungsi lupa password malah verifikasi tapi gak ke fungsi untuk ganti password malah disuruh masukin password yang lama. udah nyoba verifikasi ber kali kali dan akhirnya gak bisa dilanjutkan. kan aneh",sudah memasukkan password yang benar tapi tetap salah ketika mau menggunakan fungsi lupa password malah verifikasi tapi gak ke fungsi untuk ganti password malah disuruh masukin password yang lama udah nyoba verifikasi ber kali kali dan akhirnya gak bisa dilanjutkan kan aneh,sudah memasukkan password yang benar tapi tetap salah ketika mau menggunakan fungsi lupa password bahkan verifikasi tapi gak ke fungsi untuk ganti password bahkan disuruh masukkan password yang lama sudah nyoba verifikasi ber kali kali dan akhirnya gak bisa dilanjutkan kan aneh,memasukkan password benar tetap salah mau menggunakan fungsi lupa password bahkan verifikasi gak fungsi ganti password bahkan disuruh masukkan password lama nyoba verifikasi ber kali kali akhirnya gak dilanjutkan kan aneh,masuk password benar tetap salah mau guna fungsi lupa password bahkan verifikasi gak fungsi ganti password bahkan suruh masuk password lama nyoba verifikasi ber kali kali akhir gak lanjut kan aneh,negative
6,42e09a06-8c0b-4f55-9525-6188d0e71681,"nyusahin ga bisa login, masalahnya adalah ketika lupa password, masuk otp dan harus foto ktp. ketika ktp tidak dibawa ga bisa lanjut! ini masalah regulasi, bukan masalah signal or sim, krn pake bni mobile aman aja.",nyusahin ga bisa login masalahnya adalah ketika lupa password masuk otp dan harus foto ktp ketika ktp tidak dibawa ga bisa lanjut ini masalah regulasi bukan masalah signal or sim krn pake bni mobile aman aja,nyusahin tidak bisa login masalahnya adalah ketika lupa password masuk otp dan harus foto ktp ketika ktp tidak dibawa tidak bisa lanjut ini masalah regulasi bukan masalah signal or sim karena pakai bni mobile aman saja,nyusahin bisa login masalahnya lupa password masuk otp harus foto ktp ketika ktp dibawa bisa lanjut masalah regulasi bukan masalah signal or sim pakai bni mobile aman,nyusahin bisa login masalah lupa password masuk otp harus foto ktp ketika ktp bawa bisa lanjut masalah regulasi bukan masalah signal or sim pakai bni mobile aman,neutral
7,9d4cc057-024a-4ebc-9ca9-7c675ade93e9,"Sudah di update tapi sama saja. TETAP LEMOT GA BISA TERBUKA! saya baca di semua komentar balasan admin sama semua. Seakan2 signal di hp kami yang bermasalah padahal memang aplikasi WONDR nya yg bermasalah. Tolong di perbaiki, kami pengguna WONDR merasa terganggu dan tidak nyaman kalo seperti ini terus.",sudah di update tapi sama saja tetap lemot ga bisa terbuka saya baca di semua komentar balasan admin sama semua seakan signal di hp kami yang bermasalah padahal memang aplikasi wondr nya yg bermasalah tolong di perbaiki kami pengguna wondr merasa terganggu dan tidak nyaman kalo seperti ini terus,sudah di update tapi sama saja tetap lambat tidak bisa terbuka saya baca di semua komentar balasan admin sama semua seakan signal di hp kami yang bermasalah padahal memang aplikasi wondr nya yang bermasalah tolong di perbaiki kami pengguna wondr merasa terganggu dan tidak nyaman kalau seperti ini terus,update sama tetap lambat bisa terbuka baca semua komentar balasan admin sama semua seakan signal di hp bermasalah padahal memang aplikasi wondr nya yang bermasalah di perbaiki pengguna wondr merasa terganggu tidak nyaman kalau ini terus,update sama tetap lambat bisa buka baca semua komentar balas admin sama semua akan signal di hp masalah padahal memang aplikasi wondr nya yang masalah di baik guna wondr rasa ganggu tidak nyaman kalau ini terus,negative
8,7eb974f2-a2bc-443b-9a7b-294c568d041e,"kapok banget pke BNI,komplain transaksi yg gagal tp saldo sudah terpotong dan belum balik lagi,udh komplain sana sini,ternyata harus nunggu 20 Hari kerja untuk proses penanganan nya,,padahal nominal kecil,gimna kalau nominal besar?Tolong donk d perbaiki lg masalah kaya gini,saya sebagai nasabah baru jd ragu buat pake wondr lg,.saya pernah gini juga d bank sebelah tapi gercep banget penanganan nya,ga sampe sehari dari komplain udh balik lagi saldo nya.sayang banget ini,penanganan nya kaya gini.",kapok banget pke bnikomplain transaksi yg gagal tp saldo sudah terpotong dan belum balik lagiudh komplain sana siniternyata harus nunggu hari kerja untuk proses penanganan nyapadahal nominal kecilgimna kalau nominal besartolong donk d perbaiki lg masalah kaya ginisaya sebagai nasabah baru jd ragu buat pake wondr lgsaya pernah gini juga d bank sebelah tapi gercep banget penanganan nyaga sampe sehari dari komplain udh balik lagi saldo nyasayang banget inipenanganan nya kaya gini,kapok banget pakai bnikomplain transaksi yang gagal tapi saldo sudah terpotong dan belum balik lagiudh komplain sana siniternyata harus nunggu hari kerja untuk proses penanganan nyapadahal nominal kecilgimna kalau nominal besartolong donk di perbaiki lagi masalah kaya ginisaya sebagai nasabah baru jadi ragu buat pakai wondr lgsaya pernah gini juga di bank sebelah tapi gercep banget penanganan nyaga sampai sehari dari komplain udh balik lagi saldo nyasayang banget inipenanganan nya kaya gini,kapok banget pakai bnikomplain transaksi gagal saldo terpotong belum balik lagiudh komplain sana siniternyata nunggu hari kerja proses penanganan nyapadahal nominal kecilgimna kalau nominal besartolong donk perbaiki masalah kaya ginisaya nasabah baru jadi ragu buat pakai wondr lgsaya pernah gini di bank sebelah gercep banget penanganan nyaga sehari komplain udh balik saldo nyasayang banget inipenanganan nya kaya gini,kapok banget pakai bnikomplain transaksi gagal saldo potong belum balik lagiudh komplain sana siniternyata nunggu hari kerja proses tangan nyapadahal nominal kecilgimna kalau nominal besartolong donk baik masalah kaya ginisaya nasabah baru jadi ragu buat pakai wondr lgsaya pernah gin di bank belah gercep banget tangan nyaga hari komplain udh balik saldo nyasayang banget inipenanganan nya kaya gin,negative
9,e8374e10-a9fc-4c9b-a908-cd86250812b1,"Wondr lagi ada pemeliharaan kah? Soalnya dari kemarin sampai saat ini mau login gak bisa terus, malah muncul keterangan Ada Kendala. Kalau memang iya tolong lah dipercepat. Mau transaksi pun gagal terus karena ada masalah di aplikasinya",wondr lagi ada pemeliharaan kah soalnya dari kemarin sampai saat ini mau login gak bisa terus malah muncul keterangan ada kendala kalau memang iya tolong lah dipercepat mau transaksi pun gagal terus karena ada masalah di aplikasinya,wondr lagi ada pemeliharaan kah soalnya dari kemarin sampai saat ini mau login gak bisa terus bahkan muncul keterangan ada kendala kalau memang iya tolong lah dipercepat mau transaksi pun gagal terus karena ada masalah di aplikasinya,wondr pemeliharaan soalnya kemarin saat mau login gak terus bahkan muncul keterangan ada kendala kalau memang iya lah dipercepat mau transaksi gagal terus ada masalah aplikasinya,wondr pelihara soal kemarin saat mau login gak terus bahkan muncul terang ada kendala kalau memang iya lah cepat mau transaksi gagal terus ada masalah aplikasi,negative
10,bb2008d0-5970-4b58-b9ec-73e84ec7740e,"aplikasi yang tidak mudah diaktifkan, terutama saat verifikasi wajah amat sangat sulit, dan ketika sudah aktif. Beberapa saat kemudian minta login password lagi, padahal sudah diaktifkan biometric. karena ada masalah, harus aktif mulai dari awal lagi, dan ketika verifikasi wajah lagi, sangat sulit",aplikasi yang tidak mudah diaktifkan terutama saat verifikasi wajah amat sangat sulit dan ketika sudah aktif beberapa saat kemudian minta login password lagi padahal sudah diaktifkan biometric karena ada masalah harus aktif mulai dari awal lagi dan ketika verifikasi wajah lagi sangat sulit,aplikasi yang tidak mudah diaktifkan terutama saat verifikasi wajah amat sangat sulit dan ketika sudah aktif beberapa saat kemudian minta login password lagi padahal sudah diaktifkan biometric karena ada masalah harus aktif mulai dari awal lagi dan ketika verifikasi wajah lagi sangat sulit,aplikasi tidak mudah diaktifkan terutama verifikasi wajah sangat sulit aktif beberapa kemudian minta login password padahal diaktifkan biometric ada masalah aktif mulai awal dan ketika verifikasi wajah sangat sulit,aplikasi tidak mudah aktif utama verifikasi wajah sangat sulit aktif beberapa kemudian minta login password padahal aktif biometric ada masalah aktif mulai awal dan ketika verifikasi wajah sangat sulit,negative
